"Date","Price","Open","High","Low","Vol.","Change %"
"02/11/2016","127.71","130.48","130.48","127.71","","-2.91%"
"02/10/2016","131.54","129.91","132.32","129.10","","1.95%"
"02/09/2016","129.02","129.59","130.44","127.19","","-0.27%"
"02/08/2016","129.37","135.87","136.15","129.32","","-4.31%"
"02/05/2016","135.20","135.75","137.06","134.93","","-0.27%"
"02/04/2016","135.56","135.12","135.66","132.95","","1.69%"
"02/03/2016","133.31","134.83","135.76","132.29","","-1.04%"
"02/02/2016","134.71","136.48","136.66","134.19","","-1.57%"
"02/01/2016","136.86","138.70","138.70","136.17","","-0.73%"
"01/29/2016","137.86","137.90","137.91","136.10","","1.52%"
"01/28/2016","135.80","138.08","138.72","135.39","","-1.88%"
"01/27/2016","138.40","138.90","139.36","137.33","","-0.62%"
"01/26/2016","139.27","135.37","139.32","135.17","","1.38%"
"01/25/2016","137.38","138.48","138.48","136.52","","-0.30%"
"01/22/2016","137.80","135.82","138.09","135.50","","3.55%"
"01/21/2016","133.07","131.22","133.72","130.44","","1.53%"
"01/20/2016","131.07","132.67","132.85","130.97","","-3.04%"
"01/19/2016","135.18","134.85","136.00","134.63","","1.84%"
"01/18/2016","132.74","133.06","134.55","132.39","","-0.11%"
"01/15/2016","132.89","136.54","137.24","132.02","","-2.59%"
"01/14/2016","136.43","137.79","137.79","135.23","","-1.85%"
"01/13/2016","139.00","139.66","140.78","138.62","","0.48%"
"01/12/2016","138.33","137.88","139.89","137.72","","0.32%"
"01/11/2016","137.89","137.55","139.27","137.28","","-0.14%"
"01/08/2016","138.09","139.66","141.14","138.09","","-0.73%"
"01/07/2016","139.11","138.93","140.03","136.16","","-2.30%"
"01/05/2016","142.39","144.44","144.65","142.09","","-0.54%"
"01/04/2016","143.17","145.82","145.82","143.03","","-3.32%"
"12/30/2015","148.08","148.60","148.70","147.52","","-0.28%"
"12/29/2015","148.50","147.45","148.50","147.45","","1.25%"
"12/28/2015","146.67","147.88","148.23","146.38","","-0.76%"
"12/23/2015","147.79","145.99","147.79","145.99","","2.16%"
"12/22/2015","144.67","145.74","146.00","144.28","","-0.34%"
"12/21/2015","145.17","145.88","147.52","145.17","","-0.28%"
"12/18/2015","145.58","145.88","146.51","144.85","","-1.02%"
"12/17/2015","147.08","148.31","149.02","146.74","","0.86%"
"12/16/2015","145.82","145.80","146.95","145.00","","0.16%"
"12/15/2015","145.59","142.64","145.63","142.60","","2.49%"
"12/14/2015","142.05","144.20","144.91","141.99","","-0.94%"
"12/11/2015","143.40","146.37","146.37","143.18","","-2.17%"
"12/10/2015","146.58","146.86","147.48","146.04","","-0.48%"
"12/09/2015","147.28","148.68","148.94","146.05","","-0.79%"
"12/08/2015","148.45","151.96","151.96","148.02","","-2.46%"
"12/07/2015","152.20","152.46","153.21","151.73","","0.71%"
"12/04/2015","151.12","152.53","152.53","150.07","","-1.14%"
"12/03/2015","152.86","155.32","156.58","152.86","","-1.91%"
"12/02/2015","155.83","155.42","156.25","154.87","","0.30%"
"12/01/2015","155.36","155.94","156.55","155.09","","-0.14%"
"11/30/2015","155.58","153.98","156.02","153.49","","0.95%"
"11/27/2015","154.12","153.49","154.53","152.85","","0.08%"
"11/26/2015","153.99","152.68","154.15","152.44","","0.81%"
"11/25/2015","152.75","151.74","152.89","151.14","","1.10%"
"11/24/2015","151.09","153.42","153.42","150.76","","-1.72%"
"11/23/2015","153.74","153.88","154.06","153.01","","-0.24%"
"11/20/2015","154.11","153.61","154.33","152.54","","0.58%"
"11/19/2015","153.22","153.97","154.73","152.80","","0.06%"
"11/18/2015","153.13","152.44","153.22","152.28","","0.07%"
"11/17/2015","153.02","151.04","153.02","151.04","","2.14%"
"11/16/2015","149.82","147.99","150.34","147.87","","0.31%"
"11/13/2015","149.35","150.09","150.34","148.80","","-0.87%"
"11/12/2015","150.66","152.82","152.94","150.64","","-1.38%"
"11/11/2015","152.77","152.05","153.41","152.04","","0.81%"
"11/10/2015","151.54","153.08","153.23","150.48","","-0.78%"
"11/09/2015","152.73","154.51","155.07","152.73","","-0.82%"
"11/06/2015","153.99","153.66","154.86","153.09","","0.26%"
"11/05/2015","153.59","154.27","154.53","153.44","","-0.27%"
"11/04/2015","154.01","152.63","154.42","152.63","","1.31%"
"11/03/2015","152.02","151.69","152.10","150.96","","0.38%"
"11/02/2015","151.45","149.93","152.05","149.57","","0.32%"
"10/30/2015","150.97","150.89","151.77","150.64","","0.23%"
"10/29/2015","150.62","151.30","151.30","149.62","","-0.14%"
"10/28/2015","150.83","150.01","150.89","149.26","","0.84%"
"10/27/2015","149.58","150.78","150.88","149.42","","-0.95%"
"10/26/2015","151.01","150.98","151.78","150.35","","0.03%"
"10/23/2015","150.97","149.29","151.65","149.01","","1.53%"
"10/22/2015","148.69","145.47","148.75","144.22","","2.02%"
"10/21/2015","145.75","146.35","146.52","144.84","","-0.67%"
"10/20/2015","146.74","146.39","147.17","145.07","","0.64%"
"10/19/2015","145.80","145.52","146.61","145.30","","0.36%"
"10/16/2015","145.27","146.32","146.95","144.64","","-0.15%"
"10/15/2015","145.49","145.38","145.49","144.46","","0.73%"
"10/14/2015","144.44","145.37","145.55","144.31","","-1.11%"
"10/13/2015","146.06","148.36","148.36","145.44","","-1.39%"
"10/12/2015","148.12","148.80","150.24","147.35","","-0.11%"
"10/09/2015","148.28","147.73","148.91","147.54","","1.25%"
"10/08/2015","146.45","145.35","146.50","144.95","","0.75%"
"10/07/2015","145.36","146.36","147.30","145.36","","-0.38%"
"10/06/2015","145.91","145.87","146.66","144.37","","0.08%"
"10/05/2015","145.80","143.63","145.80","143.06","","3.13%"
"10/02/2015","141.37","141.85","143.03","139.83","","0.50%"
"10/01/2015","140.67","143.24","143.59","140.25","","-0.72%"
"09/30/2015","141.69","141.18","142.30","140.72","","1.88%"
"09/29/2015","139.08","137.46","139.94","136.75","","0.17%"
"09/28/2015","138.85","141.19","141.29","138.85","","-1.94%"
"09/25/2015","141.59","140.08","141.93","140.08","","2.57%"
"09/24/2015","138.04","142.07","142.07","137.78","","-2.77%"
"09/23/2015","141.97","141.94","142.82","141.17","","-0.04%"
"09/22/2015","142.02","141.18","144.48","141.18","","-2.49%"
"09/21/2015","145.64","144.27","146.07","143.79","","0.69%"
"09/18/2015","144.64","146.73","146.73","144.00","","-1.99%"
"09/17/2015","147.58","147.78","147.83","147.06","","0.15%"
"09/16/2015","147.36","146.93","147.98","146.81","","0.97%"
"09/15/2015","145.95","145.92","146.34","144.20","","0.01%"
"09/14/2015","145.94","147.99","148.30","145.59","","-1.37%"
"09/11/2015","147.96","149.08","149.08","147.66","","-0.46%"
"09/10/2015","148.64","148.82","149.75","148.14","","-0.88%"
"09/09/2015","149.96","151.01","151.59","149.87","","1.30%"
"09/08/2015","148.04","147.30","149.00","147.27","","1.09%"
"09/07/2015","146.45","146.94","147.22","145.97","","0.69%"
"09/04/2015","145.44","147.55","147.55","145.28","","-2.44%"
"09/03/2015","149.07","147.60","149.60","146.89","","2.11%"
"09/02/2015","145.99","146.64","147.27","145.21","","0.15%"
"09/01/2015","145.77","147.38","147.73","144.97","","-2.10%"
"08/31/2015","148.89","148.71","149.11","147.32","","-0.39%"
"08/28/2015","149.48","149.42","149.55","147.83","","0.39%"
"08/27/2015","148.90","148.36","149.03","147.37","","2.91%"
"08/26/2015","144.69","144.55","147.57","142.88","","-1.29%"
"08/25/2015","146.58","143.00","147.01","142.63","","3.71%"
"08/24/2015","141.33","143.42","145.21","139.11","","-4.54%"
"08/21/2015","148.05","149.74","151.52","148.05","","-2.53%"
"08/20/2015","151.89","153.35","153.87","151.75","","-1.41%"
"08/19/2015","154.07","156.16","156.34","154.06","","-1.90%"
"08/18/2015","157.05","157.40","157.90","156.76","","-0.43%"
"08/17/2015","157.73","158.27","158.86","156.44","","0.29%"
"08/14/2015","157.27","157.79","158.28","156.93","","-0.28%"
"08/13/2015","157.71","157.86","158.23","157.09","","1.26%"
"08/12/2015","155.75","158.47","158.52","155.57","","-2.40%"
"08/11/2015","159.58","161.16","161.68","159.27","","-1.20%"
"08/10/2015","161.52","159.78","161.53","158.67","","1.62%"
"08/07/2015","158.94","159.76","159.88","158.94","","-0.61%"
"08/06/2015","159.92","160.17","160.43","159.82","","-0.27%"
"08/05/2015","160.36","159.21","160.47","159.19","","0.91%"
"08/04/2015","158.91","159.17","159.35","158.42","","-0.33%"
"08/03/2015","159.44","158.94","159.63","158.62","","0.26%"
"07/31/2015","159.03","158.29","159.03","157.67","","0.64%"
"07/30/2015","158.02","158.31","158.54","157.01","","0.34%"
"07/29/2015","157.48","157.49","157.94","156.18","","0.58%"
"07/28/2015","156.57","156.68","157.22","155.67","","0.46%"
"07/27/2015","155.85","158.58","158.58","155.82","","-2.04%"
"07/24/2015","159.10","159.75","160.45","158.93","","-0.47%"
"07/23/2015","159.85","161.04","161.22","159.53","","0.00%"
"07/22/2015","159.85","160.80","160.99","159.85","","-1.02%"
"07/21/2015","161.50","163.33","163.35","161.40","","-0.87%"
"07/20/2015","162.91","161.81","163.21","161.81","","1.13%"
"07/17/2015","161.09","162.05","162.10","160.58","","-0.03%"
"07/16/2015","161.14","158.84","161.31","158.84","","2.06%"
"07/15/2015","157.88","158.98","158.98","157.75","","-0.89%"
"07/14/2015","159.30","159.26","159.43","158.54","","-0.02%"
"07/13/2015","159.33","158.26","159.51","158.11","","1.56%"
"07/10/2015","156.89","155.97","156.89","155.18","","2.50%"
"07/09/2015","153.06","150.63","153.25","150.43","","2.01%"
"07/08/2015","150.05","150.10","150.82","148.77","","0.25%"
"07/07/2015","149.67","151.79","152.26","149.67","","-0.83%"
"07/06/2015","150.92","151.05","152.02","150.70","","-1.64%"
"07/03/2015","153.43","154.25","154.25","152.62","","-0.38%"
"07/02/2015","154.01","154.71","155.37","153.98","","-0.72%"
"07/01/2015","155.13","152.48","155.76","152.43","","2.14%"
"06/30/2015","151.88","153.03","153.55","151.32","","-0.99%"
"06/29/2015","153.40","152.15","155.68","151.85","","-2.89%"
"06/26/2015","157.96","156.43","158.55","155.75","","0.45%"
"06/25/2015","157.25","156.91","158.23","156.69","","-0.48%"
"06/24/2015","158.01","159.34","159.60","157.65","","-0.63%"
"06/23/2015","159.01","158.21","159.72","158.12","","0.96%"
"06/22/2015","157.50","155.89","157.50","155.33","","2.63%"
"06/18/2015","153.46","153.48","153.75","151.17","","-0.33%"
"06/17/2015","153.97","155.30","155.81","153.83","","-0.98%"
"06/16/2015","155.50","153.15","155.80","151.97","","1.03%"
"06/15/2015","153.92","155.79","155.83","153.43","","-2.03%"
"06/12/2015","157.11","158.06","158.48","156.32","","-0.59%"
"06/11/2015","158.04","158.22","159.37","157.40","","-0.27%"
"06/10/2015","158.46","155.71","158.68","155.49","","1.38%"
"06/09/2015","156.31","156.55","156.89","154.66","","-0.15%"
"06/08/2015","156.54","157.97","158.23","156.54","","-1.09%"
"06/05/2015","158.27","159.42","159.42","157.75","","-1.19%"
"06/04/2015","160.17","161.59","161.59","159.65","","-1.08%"
"06/03/2015","161.92","161.91","162.80","161.14","","0.19%"
"06/02/2015","161.62","163.29","163.30","160.97","","-0.74%"
"06/01/2015","162.83","162.84","163.60","162.38","","0.23%"
"05/29/2015","162.46","164.70","164.70","162.46","","-1.29%"
"05/28/2015","164.59","164.19","164.69","163.77","","0.10%"
"05/27/2015","164.43","162.49","164.43","162.15","","1.42%"
"05/26/2015","162.12","163.27","163.79","161.91","","-0.73%"
"05/25/2015","163.32","163.26","163.33","162.37","","0.12%"
"05/22/2015","163.12","162.68","163.61","162.31","","0.29%"
"05/21/2015","162.65","161.89","162.65","161.29","","0.28%"
"05/20/2015","162.19","162.42","162.42","161.33","","0.08%"
"05/19/2015","162.06","161.40","162.22","160.88","","0.83%"
"05/18/2015","160.72","160.73","161.07","159.65","","0.39%"
"05/15/2015","160.10","160.81","161.49","159.98","","-0.07%"
"05/13/2015","160.21","159.09","160.21","158.66","","1.07%"
"05/12/2015","158.52","159.41","159.50","157.60","","-1.20%"
"05/11/2015","160.44","160.25","161.12","159.70","","0.07%"
"05/08/2015","160.33","158.44","160.56","157.10","","1.73%"
"05/07/2015","157.61","156.70","158.07","154.45","","0.04%"
"05/06/2015","157.54","158.98","159.49","156.64","","-0.94%"
"05/05/2015","159.04","162.41","163.41","159.04","","-2.27%"
"05/04/2015","162.73","163.13","163.67","162.33","","0.39%"
"04/30/2015","162.10","162.26","163.18","160.55","","-0.25%"
"04/29/2015","162.51","167.83","167.83","162.15","","-2.55%"
"04/28/2015","166.76","170.04","170.29","166.06","","-2.27%"
"04/27/2015","170.64","169.23","170.64","168.42","","1.41%"
"04/24/2015","168.27","167.84","168.38","167.33","","0.56%"
"04/23/2015","167.34","168.93","169.38","166.53","","-0.89%"
"04/22/2015","168.85","168.77","169.70","167.10","","0.57%"
"04/21/2015","167.90","166.94","168.11","166.44","","1.10%"
"04/20/2015","166.08","164.32","166.08","164.32","","1.27%"
"04/17/2015","164.00","167.06","167.24","164.00","","-1.98%"
"04/16/2015","167.32","169.06","169.06","167.32","","-1.08%"
"04/15/2015","169.15","168.14","169.48","168.14","","0.51%"
"04/14/2015","168.29","168.24","168.69","167.65","","0.14%"
"04/13/2015","168.06","167.76","168.12","166.98","","0.17%"
"04/10/2015","167.78","167.30","167.78","167.06","","0.26%"
"04/09/2015","167.35","166.39","167.35","166.39","","0.72%"
"04/08/2015","166.16","167.07","167.45","166.12","","-0.53%"
"04/07/2015","167.05","166.18","167.31","166.18","","1.36%"
"04/02/2015","164.81","164.28","164.81","164.11","","0.41%"
"04/01/2015","164.14","163.43","164.79","162.85","","0.11%"
"03/31/2015","163.96","164.91","165.70","163.76","","-0.77%"
"03/30/2015","165.24","163.42","165.24","163.42","","1.51%"
"03/27/2015","162.78","163.57","164.40","162.75","","-0.59%"
"03/26/2015","163.74","163.49","163.74","161.73","","-1.15%"
"03/25/2015","165.65","166.18","166.68","165.15","","-0.41%"
"03/24/2015","166.33","165.84","166.44","165.40","","0.30%"
"03/23/2015","165.83","166.78","166.78","165.52","","-0.74%"
"03/20/2015","167.06","165.95","167.06","165.77","","0.28%"
"03/19/2015","166.60","166.49","167.50","165.77","","0.33%"
"03/18/2015","166.05","163.78","166.68","163.18","","1.58%"
"03/17/2015","163.47","164.78","164.98","162.60","","-0.79%"
"03/16/2015","164.78","163.08","164.84","163.08","","1.35%"
"03/13/2015","162.58","162.71","162.89","162.11","","0.31%"
"03/12/2015","162.08","162.13","162.55","161.28","","-0.04%"
"03/11/2015","162.15","159.62","162.46","159.62","","1.25%"
"03/10/2015","160.15","161.71","162.15","160.05","","-1.14%"
"03/09/2015","162.00","161.84","162.41","160.21","","-0.20%"
"03/06/2015","162.33","163.31","163.55","162.24","","-0.50%"
"03/05/2015","163.14","163.25","163.90","163.06","","0.44%"
"03/04/2015","162.43","162.50","162.64","160.51","","-0.12%"
"03/03/2015","162.63","165.29","165.86","162.49","","-1.53%"
"03/02/2015","165.15","166.37","166.51","164.18","","-0.33%"
"02/27/2015","165.69","165.25","165.96","164.60","","0.29%"
"02/26/2015","165.21","164.64","165.27","164.56","","0.33%"
"02/25/2015","164.66","164.89","165.21","164.33","","-0.25%"
"02/24/2015","165.08","164.67","165.21","163.51","","0.24%"
"02/23/2015","164.68","164.00","164.68","163.50","","0.93%"
"02/20/2015","163.17","162.75","163.22","162.22","","0.02%"
"02/19/2015","163.14","161.88","163.14","161.42","","0.52%"
"02/18/2015","162.29","160.74","162.29","160.74","","1.37%"
"02/17/2015","160.10","160.94","160.94","159.64","","-0.89%"
"02/16/2015","161.53","161.12","161.53","160.87","","0.14%"
"02/13/2015","161.31","160.35","161.51","160.34","","0.98%"
"02/12/2015","159.74","156.91","160.22","156.91","","2.08%"
"02/11/2015","156.49","157.10","157.54","156.19","","-0.48%"
"02/10/2015","157.25","156.13","157.53","155.55","","0.80%"
"02/09/2015","156.00","155.79","156.04","155.18","","-0.44%"
"02/06/2015","156.69","155.52","156.84","155.03","","0.88%"
"02/05/2015","155.32","154.00","155.38","153.77","","0.62%"
"02/04/2015","154.36","155.54","155.65","153.82","","-0.68%"
"02/03/2015","155.41","154.51","155.66","154.51","","1.01%"
"02/02/2015","153.86","153.79","154.14","153.08","","0.20%"
