"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2019","856.86","858.75","859.00","855.22","","-0.19%"
"10/31/2019","858.49","859.18","859.18","854.12","","0.00%"
"10/30/2019","858.49","856.47","858.72","852.74","","0.23%"
"10/29/2019","856.52","854.06","856.53","850.03","","0.25%"
"10/28/2019","854.41","853.49","855.63","849.82","","0.40%"
"10/25/2019","850.99","844.64","852.18","844.21","","0.94%"
"10/24/2019","843.07","849.78","849.79","840.56","","-0.70%"
"10/23/2019","849.04","844.05","849.38","839.96","","0.26%"
"10/22/2019","846.80","853.91","853.91","843.67","","-0.63%"
"10/21/2019","852.18","851.51","852.40","849.10","","0.06%"
"10/18/2019","851.64","845.24","852.03","844.53","","0.67%"
"10/17/2019","846.00","847.52","849.32","844.32","","-0.02%"
"10/16/2019","846.21","846.21","848.60","845.46","","0.05%"
"10/15/2019","845.78","844.29","848.61","843.30","","0.36%"
"10/14/2019","842.71","842.05","844.21","838.70","","0.22%"
"10/11/2019","840.90","834.56","840.90","834.10","","0.85%"
"10/10/2019","833.78","834.19","835.12","831.81","","0.07%"
"10/09/2019","833.20","830.93","835.78","829.66","","0.24%"
"10/08/2019","831.19","830.23","832.28","827.60","","0.07%"
"10/07/2019","830.62","827.04","830.71","826.81","","0.51%"
"10/04/2019","826.37","824.69","829.57","823.22","","0.20%"
"10/03/2019","824.68","825.06","827.14","821.01","","-0.49%"
"10/02/2019","828.71","835.24","836.10","826.42","","-0.74%"
"10/01/2019","834.93","834.20","838.57","833.44","","0.42%"
"09/30/2019","831.45","826.19","832.03","826.19","","0.79%"
"09/27/2019","824.91","816.12","824.91","815.53","","1.39%"
"09/26/2019","813.58","816.28","818.69","813.02","","-0.08%"
"09/25/2019","814.24","816.44","818.01","809.90","","-0.19%"
"09/24/2019","815.78","812.97","816.66","812.97","","0.18%"
"09/23/2019","814.30","820.95","821.74","811.94","","-0.76%"
"09/20/2019","820.54","821.19","823.23","818.43","","-0.04%"
"09/19/2019","820.83","812.45","820.83","812.03","","1.08%"
"09/18/2019","812.05","809.88","814.27","808.81","","0.46%"
"09/17/2019","808.35","815.23","815.23","806.26","","-0.82%"
"09/16/2019","815.05","813.92","816.93","813.12","","-0.07%"
"09/13/2019","815.61","811.18","816.39","811.18","","0.55%"
"09/12/2019","811.16","807.91","811.27","807.01","","0.51%"
"09/11/2019","807.08","805.37","807.08","804.30","","0.29%"
"09/10/2019","804.76","808.27","808.27","801.51","","-0.27%"
"09/09/2019","806.90","806.83","810.47","804.84","","0.06%"
"09/06/2019","806.43","800.78","806.91","799.57","","0.88%"
"09/05/2019","799.39","798.95","801.17","796.50","","0.10%"
"09/04/2019","798.57","799.78","801.58","797.21","","-0.02%"
"09/03/2019","798.75","800.62","801.36","796.43","","-0.15%"
"09/02/2019","799.93","802.96","803.60","798.18","","-0.26%"
"08/30/2019","802.04","802.47","803.39","799.32","","0.05%"
"08/29/2019","801.63","804.14","807.34","799.06","","-0.48%"
"08/28/2019","805.51","812.24","813.16","804.66","","-0.72%"
"08/27/2019","811.33","810.72","814.01","809.26","","0.27%"
"08/26/2019","809.11","809.90","809.90","805.31","","-0.69%"
"08/23/2019","814.77","812.61","816.23","810.65","","0.34%"
"08/22/2019","811.99","814.02","814.80","811.22","","-0.33%"
"08/21/2019","814.70","815.72","815.72","809.26","","-0.09%"
"08/20/2019","815.47","815.60","817.70","812.72","","0.02%"
"08/19/2019","815.32","809.27","815.32","809.27","","0.84%"
"08/16/2019","808.53","798.42","808.64","798.42","","0.79%"
"08/15/2019","802.18","812.34","812.53","793.89","","-1.73%"
"08/14/2019","816.33","833.99","834.95","815.53","","-1.81%"
"08/13/2019","831.41","835.65","835.65","825.52","","-0.48%"
"08/12/2019","835.38","844.16","844.16","833.58","","-0.77%"
"08/09/2019","841.89","846.50","847.74","840.19","","-0.36%"
"08/08/2019","844.89","837.85","844.89","837.24","","0.86%"
"08/07/2019","837.69","838.38","842.65","835.13","","-0.08%"
"08/06/2019","838.40","832.62","839.28","831.54","","0.13%"
"08/05/2019","837.33","850.16","850.16","834.51","","-1.82%"
"08/02/2019","852.89","858.81","858.81","849.94","","-0.92%"
"08/01/2019","860.83","861.27","861.70","855.66","","0.01%"
"07/31/2019","860.74","863.99","863.99","853.45","","-0.37%"
"07/30/2019","863.95","865.33","866.39","862.62","","-0.05%"
"07/29/2019","864.41","862.92","864.92","860.86","","0.33%"
"07/26/2019","861.53","858.86","862.38","858.51","","0.31%"
"07/25/2019","858.88","857.37","861.22","855.01","","0.14%"
"07/24/2019","857.72","861.45","862.19","856.31","","-0.32%"
"07/23/2019","860.50","854.54","860.50","854.33","","0.72%"
"07/22/2019","854.34","853.27","855.77","850.41","","0.03%"
"07/19/2019","854.10","864.42","864.42","851.55","","-1.22%"
"07/18/2019","864.61","866.80","866.87","858.78","","-0.20%"
"07/17/2019","866.30","873.20","873.20","865.03","","-0.71%"
"07/16/2019","872.46","875.23","875.55","869.04","","-0.19%"
"07/15/2019","874.13","876.77","878.64","873.10","","0.05%"
"07/12/2019","873.68","876.71","877.03","868.66","","0.10%"
"07/11/2019","872.78","870.46","872.78","868.61","","0.49%"
"07/10/2019","868.53","866.44","871.72","865.07","","0.28%"
"07/09/2019","866.08","870.72","870.72","865.22","","-0.65%"
"07/08/2019","871.79","874.37","874.95","871.33","","-0.36%"
"07/05/2019","874.97","881.10","881.10","870.63","","-0.70%"
"07/04/2019","881.15","877.67","881.15","875.78","","0.37%"
"07/03/2019","877.90","874.42","877.90","872.61","","0.41%"
"07/02/2019","874.35","871.70","874.93","869.81","","0.45%"
"07/01/2019","870.43","867.22","870.43","866.07","","0.64%"
"06/28/2019","864.87","865.66","867.52","862.16","","-0.06%"
"06/27/2019","865.39","861.96","865.39","861.54","","0.70%"
"06/26/2019","859.35","862.69","862.69","857.59","","-0.39%"
"06/25/2019","862.69","862.16","863.84","860.06","","0.15%"
"06/24/2019","861.40","863.51","867.85","859.93","","-0.06%"
"06/20/2019","861.94","866.66","869.15","861.94","","-0.42%"
"06/19/2019","865.58","863.65","865.58","860.26","","0.22%"
"06/18/2019","863.69","852.03","865.12","847.29","","1.54%"
"06/17/2019","850.58","851.95","852.15","847.06","","0.02%"
"06/14/2019","850.38","862.60","862.92","848.39","","-1.34%"
"06/13/2019","861.90","854.11","861.90","852.72","","0.83%"
"06/12/2019","854.79","858.22","858.28","850.85","","-0.50%"
"06/11/2019","859.05","861.20","861.20","857.17","","-0.20%"
"06/10/2019","860.81","851.64","864.39","851.45","","1.24%"
"06/07/2019","850.29","845.99","850.29","843.77","","0.50%"
"06/05/2019","846.10","844.33","846.27","840.29","","0.26%"
"06/04/2019","843.89","836.14","843.89","833.72","","0.97%"
"06/03/2019","835.79","841.00","842.32","831.38","","-0.54%"
"05/31/2019","840.35","844.20","844.20","835.89","","-0.69%"
"05/29/2019","846.19","851.85","851.85","845.00","","-0.71%"
"05/28/2019","852.20","852.65","855.15","850.21","","0.20%"
"05/27/2019","850.51","851.87","854.00","848.36","","0.13%"
"05/24/2019","849.37","846.36","852.87","846.36","","0.58%"
"05/23/2019","844.48","850.18","851.82","842.55","","-0.69%"
"05/22/2019","850.38","833.58","851.15","832.55","","2.20%"
"05/21/2019","832.07","829.03","833.06","827.90","","0.27%"
"05/20/2019","829.80","832.68","835.16","826.59","","-0.03%"
"05/17/2019","830.09","834.80","834.80","827.94","","-0.46%"
"05/16/2019","833.92","831.54","833.92","828.92","","0.35%"
"05/15/2019","831.03","834.12","834.12","826.42","","-0.08%"
"05/14/2019","831.72","820.44","832.05","820.02","","1.48%"
"05/13/2019","819.56","832.82","835.65","819.56","","-1.34%"
"05/10/2019","830.71","822.49","832.02","822.49","","1.02%"
"05/09/2019","822.32","830.86","830.91","819.49","","-0.98%"
"05/08/2019","830.50","836.00","836.00","828.01","","-0.53%"
"05/07/2019","834.93","841.26","841.93","834.28","","-0.62%"
"05/06/2019","840.17","844.88","844.88","832.97","","-0.94%"
"05/03/2019","848.14","850.47","850.67","845.02","","-0.32%"
"05/02/2019","850.90","850.90","850.90","845.53","","0.10%"
"04/30/2019","850.06","848.30","850.75","846.26","","0.41%"
"04/29/2019","846.56","847.20","849.98","846.40","","0.04%"
"04/26/2019","846.21","845.43","848.71","843.95","","0.31%"
"04/25/2019","843.58","844.37","847.29","841.80","","-0.50%"
"04/24/2019","847.86","851.11","851.13","846.12","","-0.12%"
"04/23/2019","848.90","847.60","849.47","845.95","","0.24%"
"04/18/2019","846.84","844.11","846.84","841.46","","0.39%"
"04/17/2019","843.54","843.03","844.16","841.05","","0.11%"
"04/16/2019","842.60","842.43","845.86","840.07","","0.10%"
"04/15/2019","841.76","839.88","842.90","839.62","","0.46%"
"04/12/2019","837.89","833.12","838.36","832.61","","0.76%"
"04/11/2019","831.59","830.78","832.90","829.73","","0.17%"
"04/10/2019","830.15","830.44","832.46","827.99","","0.06%"
"04/09/2019","829.66","830.64","833.12","828.13","","-0.14%"
"04/08/2019","830.83","834.07","834.16","829.21","","-0.34%"
"04/05/2019","833.64","830.58","833.64","828.84","","0.29%"
"04/04/2019","831.26","829.92","832.14","828.72","","0.13%"
"04/03/2019","830.17","826.06","830.17","826.06","","0.65%"
"04/02/2019","824.83","821.70","825.90","820.94","","0.48%"
"04/01/2019","820.89","819.22","821.48","817.13","","0.43%"
"03/29/2019","817.38","816.46","817.69","814.27","","0.25%"
"03/28/2019","815.34","814.79","817.52","812.92","","0.03%"
"03/27/2019","815.07","814.31","816.57","812.22","","0.20%"
"03/26/2019","813.44","814.55","815.57","811.28","","-0.15%"
"03/25/2019","814.66","820.20","820.25","810.98","","-0.68%"
"03/22/2019","820.21","827.07","829.34","818.97","","-0.63%"
"03/21/2019","825.41","827.29","828.88","823.60","","-0.19%"
"03/20/2019","826.95","830.39","831.84","825.67","","-0.30%"
"03/19/2019","829.42","829.15","831.30","828.42","","0.25%"
"03/18/2019","827.39","824.96","830.08","824.96","","0.64%"
"03/15/2019","822.11","820.13","822.65","818.86","","0.30%"
"03/14/2019","819.63","817.45","819.63","816.33","","0.45%"
"03/13/2019","815.98","814.36","816.27","813.11","","0.07%"
"03/12/2019","815.44","815.10","817.45","813.15","","0.23%"
"03/11/2019","813.58","809.05","813.58","808.07","","0.94%"
"03/08/2019","806.02","809.17","809.17","803.06","","-0.42%"
"03/07/2019","809.39","826.76","827.29","807.01","","-2.13%"
"03/06/2019","826.97","829.05","829.21","826.23","","-0.35%"
"03/05/2019","829.87","831.29","832.06","826.07","","-0.01%"
"03/04/2019","829.99","833.49","833.49","828.03","","0.14%"
"03/01/2019","828.82","825.74","829.30","825.74","","0.42%"
"02/28/2019","825.35","824.63","826.47","820.50","","0.15%"
"02/27/2019","824.11","827.19","828.54","822.50","","-0.42%"
"02/26/2019","827.62","826.10","828.47","824.10","","0.14%"
"02/25/2019","826.44","829.73","831.45","824.21","","-0.36%"
"02/22/2019","829.39","827.03","829.39","825.03","","0.86%"
"02/21/2019","822.32","835.03","835.03","820.71","","-1.33%"
"02/20/2019","833.43","838.72","838.72","831.41","","-0.55%"
"02/19/2019","838.05","838.76","839.88","834.87","","0.14%"
"02/18/2019","836.85","832.09","838.04","832.09","","0.73%"
"02/15/2019","830.76","825.89","830.85","824.30","","0.44%"
"02/14/2019","827.16","829.66","831.65","825.53","","-0.16%"
"02/13/2019","828.49","828.00","830.34","827.02","","0.21%"
"02/12/2019","826.76","822.98","830.33","822.68","","0.67%"
"02/11/2019","821.29","816.47","821.29","816.19","","1.14%"
"02/08/2019","812.04","815.98","818.29","810.67","","-0.21%"
"02/07/2019","813.77","817.98","818.91","813.14","","-0.49%"
"02/06/2019","817.78","814.55","818.69","813.75","","0.53%"
"02/05/2019","813.43","810.98","814.08","809.74","","0.45%"
"02/04/2019","809.81","809.31","811.72","806.67","","0.28%"
